name	ID	quiz1	quiz2	quiz3	quiz4	quiz5	quiz6	exam1	exam2	exam3	journal_club	attendance	assignment
Points	total	20	20	20	20	20	20	100	100	150	10	25	25
Alex	id1	10	13	15.5	8	6	12	66.5	54.8		10	15	24
Ben	id2	14	14	17	7.5	5		72	66.3	76	8	22.5	20
Bob	id3	12	11	8	6.5	7		57				12.5	17
James	id4	20	15	14	14	14	14	91	80.6	122	10	25	25
Jeff	id5		9	9		16	12	97.5	59.6	86		15	12
Megan	id6	16	16	13.5	13	14	18	59	53	92	10	25	25
Nancy	id7	20	20	14	2.5	16.5		99	74.6	89		17.5	19
Paul	id8	16		12	18	14	14	100	99	136	10	25	25
Ryan	id9	19	7.5	17	18.5	14	18	80.5	75.9	88	10	25	25
Sean	id10	20	11	15.5	5.5	15	14	84	92	110	10	25	25
Zack	id11	16	19.5		16	13.5	20	94.5	105.5	134	10	25	22
